,domain,nb_item,nb_item_search,nb_item_bought,413163,
1561,MLB-CELLPHONES,38390,369039,25070,25070,6%
1531,MLB-SNEAKERS,32636,181450,14608,39678,10%
2035,MLB-SUPPLEMENTS,22351,75792,9562,49240,12%
1752,MLB-HEADPHONES,11328,71895,9053,58293,14%
1597,MLB-SMARTWATCHES,8721,81975,7963,66256,16%
2003,MLB-DOLLS,10023,68197,4915,71171,17%
1869,MLB-VIDEO_GAMES,12742,34612,4637,75808,18%
28,MLM-HEADPHONES,5731,49219,4603,80411,19%
2173,MLB-BOOTS_AND_BOOTIES,8564,42622,4325,84736,21%
2429,MLB-STREAMING_MEDIA_DEVICES,4807,29602,4104,88840,22%
1573,MLB-T_SHIRTS,23823,68935,3746,92586,22%
2052,MLB-PANTS,10309,53829,3443,96029,23%
2961,MLB-SURVEILLANCE_CAMERAS,4365,24579,3443,99472,24%
1596,MLB-HAIR_TREATMENTS,13529,39269,3405,102877,25%
1594,MLB-CELLPHONE_SCREENS,6595,19368,3047,105924,26%
1962,MLB-WALL_AND_CEILING_LIGHTS,9144,35088,2970,108894,26%
2012,MLB-SHORTS,8472,48460,2856,111750,27%
2361,MLB-HARD_DRIVES_AND_SSDS,3146,12368,2843,114593,28%
1564,MLB-SPEAKERS,7082,35213,2774,117367,28%
6,MLM-CELLPHONE_COVERS,7475,28035,2698,120065,29%
1601,MLB-SANDALS_AND_FLIP_FLOPS,15102,51639,2600,122665,30%
1750,MLB-WRISTWATCHES,13136,45550,2561,125226,30%
1891,MLB-DRESSES,21590,84907,2536,127762,31%
2561,MLB-MICROWAVES,1917,19103,2442,130204,32%
2725,MLB-GEL_NAIL_KITS,2566,27771,2294,132498,32%
2268,MLB-FANS,2884,17334,2201,134699,33%
2002,MLB-HAIR_CLIPPERS,3555,14233,2160,136859,33%
1538,MLB-ACTION_FIGURES,13597,30262,2106,138965,34%
2553,MLB-MALE_UNDERWEAR,2925,15717,2069,141034,34%
2372,MLB-FLEA_AND_TICK_TREATMENTS,1866,7536,2050,143084,35%
3449,MLB-CARD_PAYMENT_TERMINALS,979,10622,2017,145101,35%
47,MLM-CELLPHONES,8035,40460,1947,147048,36%
1759,MLB-FOOTBALL_SHIRTS,6801,22632,1933,148981,36%
2832,MLB-BODY_SHAPERS,2426,13996,1836,150817,37%
1843,MLB-BACKPACKS,8934,26530,1812,152629,37%
1543,MLB-INDOOR_CURTAINS_AND_BLINDS,5329,24131,1800,154429,37%
2776,MLB-TELEVISIONS,3270,27798,1779,156208,38%
2030,MLB-UNCLASSIFIED_PRODUCTS,6287,11320,1720,157928,38%
1581,MLB-LOAFERS_AND_OXFORDS,3157,15690,1681,159609,39%
40,MLM-SMARTWATCHES,2199,17945,1643,161252,39%
1542,MLB-TOYS_AND_GAMES,9391,25448,1640,162892,39%
1778,MLB-VIDEO_GAME_PREPAID_CARDS,985,4483,1627,164519,40%
1753,MLB-MOTORCYCLE_HELMETS,5691,24657,1521,166040,40%
2743,MLB-CELLPHONE_ACCESSORIES,3177,12519,1514,167554,41%
1893,MLB-VEHICLE_ACCESSORIES,28986,43932,1511,169065,41%
2979,MLB-VEHICLE_STEREOS,2541,14041,1510,170575,41%
4348,MLB-PUZZLE_CUBES,1199,7736,1504,172079,42%
2042,MLB-SUNGLASSES,6077,19144,1413,173492,42%
2212,MLB-HOME_APPLIANCES_ACCESSORIES_AND_SPARE_PARTS,7637,11894,1381,174873,42%
2011,MLB-CELLPHONE_COVERS,11177,26958,1379,176252,43%
1842,MLB-GAMEPADS_AND_JOYSTICKS,2765,9966,1375,177627,43%
2447,MLB-DIAPER_BAGS,1933,15528,1346,178973,43%
2124,MLB-SCOOTERS,2030,13761,1333,180306,44%
3541,MLB-TEETH_WHITENING_PRODUCTS,1020,5398,1269,181575,44%
1959,MLB-FOOTBALL_SHOES,4141,15688,1233,182808,44%
2393,MLB-CELLPHONE_BATTERIES,2092,5693,1231,184039,45%
2395,MLB-PORTABLE_CELLPHONE_CHARGERS,1358,8035,1231,185270,45%
1562,MLB-SOUVENIRS,11017,22896,1219,186489,45%
1896,MLB-FLOOD_LIGHTS,2089,8300,1185,187674,45%
2307,MLB-WOMEN_SWIMWEAR,6090,27697,1171,188845,46%
2826,MLB-AUTOMOTIVE_AMPLIFIERS,3448,12555,1165,190010,46%
1595,MLB-PRINTERS,2805,10370,1160,191170,46%
1568,MLB-DRILLS_SCREWDRIVERS,1824,12828,1140,192310,47%
2888,MLB-AIR_CONDITIONERS,2410,13281,1116,193426,47%
2273,MLB-COOKING_SCALES,554,3624,1068,194494,47%
2317,MLB-PERFUMES,8393,17822,1046,195540,47%
1970,MLB-WRENCH_SETS,2313,12203,1044,196584,48%
2896,MLB-PORTABLE_ELECTRIC_MASSAGERS,1337,5798,1039,197623,48%
327,MLM-CELLPHONE_SCREENS,2215,6153,1019,198642,48%
2211,MLB-NON_CORRECTIVE_CONTACT_LENSES,1119,8993,1011,199653,48%
1540,MLB-BOOKS,9973,15842,1006,200659,49%
2112,MLB-FACIAL_SKIN_CARE_PRODUCTS,4479,11913,1005,201664,49%
2043,MLB-GAME_CONSOLES,5541,19877,999,202663,49%
2180,MLB-COSTUMES,6015,16223,977,203640,49%
2081,MLB-SWEATSHIRTS_AND_HOODIES,6944,19723,972,204612,50%
2164,MLB-ROUTERS_AND_WIRELESS_SYSTEMS,2114,7444,968,205580,50%
2339,MLB-LIGHT_BULBS,2603,6916,957,206537,50%
2027,MLB-HANDBAGS,6539,20848,951,207488,50%
2107,MLB-PRINTER_INKS,1311,4016,927,208415,50%
2514,MLB-CARPETS,3853,14621,925,209340,51%
2904,MLB-PAINT_SPRAYERS,1417,6420,911,210251,51%
2368,MLB-BODY_SKIN_CARE_PRODUCTS,5749,12717,906,211157,51%
19,MLM-WRISTWATCHES,4492,13624,879,212036,51%
3086,MLB-VOLTAGE_CONVERTERS,764,4577,876,212912,52%
2373,MLB-BLOOD_PRESSURE_MONITORS,534,2923,858,213770,52%
516,MLM-VIDEO_GAME_PREPAID_CARDS,479,1539,855,214625,52%
209,MLM-PARTY_MASKS,1914,8474,853,215478,52%
3252,MLB-MEMORY_CARDS,1302,4526,852,216330,52%
2469,MLB-BEAUTY_AND_PERSONAL_CARE_SUPPLIES,3105,6707,842,217172,53%
1967,MLB-ELECTRIC_PRESSURE_WASHERS,877,6581,829,218001,53%
3035,MLB-HAIR_STRAIGHTENERS,1712,7420,815,218816,53%
2115,MLB-CONTINUOUS_LIGHTING,873,6270,807,219623,53%
2486,MLB-BABY_SUPPLIES,4360,11575,802,220425,53%
2656,MLB-TABLETS,2565,11191,787,221212,54%
1995,MLB-AIRSOFT_GUNS,4015,18033,786,221998,54%
2634,MLB-KITCHEN_FAUCETS,1360,5673,784,222782,54%
2379,MLB-OFFICE_SOFTWARE,850,1505,782,223564,54%
2666,MLB-MICROPHONES,2448,7796,782,224346,54%
3706,MLB-BODYWEIGHT_SCALES,526,3395,781,225127,54%
422,MLM-CATS_AND_DOGS_FOODS,815,2446,772,225899,55%
2053,MLB-BICYCLES,6631,28418,771,226670,55%
3894,MLB-OPERATING_SYSTEMS,488,1004,769,227439,55%
1762,MLB-PANTIES,3094,14148,767,228206,55%
3057,MLB-LED_STRIPS,1397,5697,753,228959,55%
2560,MLB-AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS,3966,7921,750,229709,56%
125,MLM-CELLPHONE_ACCESSORIES,1720,7626,731,230440,56%
